"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.225",0.206205136769342,0.00679193706460547,0.764622520624743,0.557992584500484,-367.353223886482
"R2c.226",0.221236077315163,-0.012124190608534,-1.46079833967216,0.50335224455995,-370.176664890798
"R2c.227",0.21529406751947,0.00139250140474307,0.72281467653981,0.496798293860407,-395.165132658738
"R2c.228",0.219817863352113,-0.00609417080847317,-0.600216014853593,0.455831691226254,-359.772108066657
"R2c.229",0.230973625811075,-0.0279871110188736,-1.8489850191975,0.452715018797787,-362.683227547819
"R2c.230",0.214085644695479,-0.00126370896231149,-0.363444689954549,0.544210257383491,-396.995629675379
"R2c.231",0.209640700798992,0.00325752149592317,0.407106212104782,0.510661043179888,-370.849090990012
"R2c.232",0.217603664602853,-0.0044410917552631,-1.19014379444325,0.541815589000573,-386.618129452938
"R2c.233",0.208569020783194,0.0083352117557008,0.576321488011222,0.576850204075597,-366.377973552862
"R2c.234",0.220573195068776,-0.0144048397602848,-1.36840184565994,0.512888932303907,-390.772507181954
"R2c.235",0.209879076463863,0.00585815767715609,0.486029371107813,0.593632864210876,-402.426935891845
"R2c.236",0.213689840757143,-0.000108441296197598,-0.0202176569132425,0.589262941989956,-381.508415051259
"R2c.237",0.212035489811806,0.00389046050867975,1.0733119056816,0.61372151468191,-390.960337661978
"R2c.238",0.219979662937753,-0.00311482669467484,-0.302204978599795,0.489277030816947,-370.507627810524
"R2c.239",0.216964662675007,-0.00896548462915549,-0.657317988349025,0.450304864575177,-377.930461641172
"R2c.240",0.200584489914347,0.0162265180110838,1.38863766152901,0.656904847739732,-390.58847513479
"R2c.241",0.213031389554818,0.00363390839750285,0.250939695746072,0.532862279039178,-372.058717558558
"R2c.242",0.207572980021586,0.00616369078913596,1.37775961767421,0.597511195643455,-405.754776013584
"R2c.243",0.211306675724994,0.00395331768707087,0.753686266929076,0.545478112842535,-392.074866570696
"R2c.244",0.216629333756648,-0.00378093956433064,-0.303671465768216,0.460171402996857,-373.014825371123
