"","intercept_mod","scal_mod","p_mod","rsq_mod","adj_rsq_mod","aic_mod"
"1.259",0.220686981902404,-0.00679538561981158,0.000131019115574549,0.129455195107927,0.121242508269322,-385.441686590254
"1.260",0.224918892101015,-0.00670982383902565,0.00113792407001743,0.0954882256497239,0.0869550957030231,-358.566802325115
"1.261",0.220859214121134,-0.00681646930267993,0.00073684012585037,0.102366685544948,0.0938984467293338,-370.814270236023
"1.262",0.220209556976448,-0.00780654827208509,3.9880668189811e-05,0.147822324006983,0.139782911969313,-375.609878528088
"1.263",0.221060602484175,-0.0091322862504794,6.57685014410815e-05,0.140129669947412,0.132017685701633,-348.738286590093
"1.264",0.217737755362117,-0.00335638075241873,0.0712122452597026,0.0303799465100633,0.0212325875148751,-391.803729654265
"1.265",0.218803917123095,-0.00500731398473137,0.00594909802383219,0.0691987903276246,0.0604176468401492,-381.473913454747
"1.266",0.225255689723712,-0.00863449166984263,2.41941009369814e-05,0.155459008000257,0.147491640151203,-362.089050470341
"1.267",0.219010409654036,-0.00872345556673226,2.93721405461609e-05,0.152501544565327,0.14450627611783,-371.472608940148
"1.268",0.223180612704029,-0.00529943882621786,0.0219190199253305,0.0485635317308936,0.0395877159925057,-350.343446196088
"1.269",0.221937122624322,-0.00758699330926627,0.000267688282410359,0.118302735960007,0.109984837242648,-360.490775797607
"1.270",0.225053407797226,-0.00697782821246676,0.000771676718423092,0.101636500282265,0.0931613729264376,-351.195218600829
"1.271",0.219834756733046,-0.00664270371193075,0.00113289244813186,0.0955584618189207,0.0870259944775896,-346.137065230849
"1.272",0.221904598420923,-0.00754105333747184,0.000778692430466671,0.101493414656822,0.0930169374366032,-360.622821761306
"1.273",0.218860340094793,-0.0070298799730299,8.69225086644947e-05,0.135820746199819,0.127668111730006,-396.216201318787
"1.274",0.219424508713585,-0.00734772704169433,0.000833956957738726,0.10040910886047,0.0919224023402855,-358.867649210583
"1.275",0.218476645057088,-0.00546436875067472,0.00387294452111545,0.0760265575836043,0.0673098269947702,-381.138451855315
"1.276",0.21819987960322,-0.00740613781540783,0.000326786868369905,0.115174469069174,0.106827058400015,-371.382959375341
"1.277",0.223215290955617,-0.00871786292080633,3.4761302393888e-05,0.149926535782017,0.141906974798829,-376.205255322621
"1.278",0.220403581345356,-0.00763144853298413,0.00150897788007566,0.0910116629070271,0.0824363012363386,-340.980614147356
"1.279",0.220710181758617,-0.00680879999698787,0.00182582509475917,0.0879849722134515,0.0793810568569746,-344.086407623834
"1.280",0.223871970233935,-0.00615082201537842,0.00560071644979829,0.0701583722757547,0.0613862814481674,-357.385370240515
"1.281",0.221630239618639,-0.00418229249379444,0.0748247902542223,0.0296354120682015,0.0204810291631844,-329.346301496457
"1.282",0.224343431387766,-0.00780392247580988,0.000118701428653267,0.130989581720177,0.122791370226971,-349.595075344199
"1.283",0.217009237365203,-0.00689140951656705,7.78783046886192e-05,0.137520057884233,0.129383454656726,-389.461828870445
"1.284",0.225240059869684,-0.00544152182989703,0.0122715880130226,0.0577085039631442,0.048818961547702,-342.329504017299
"1.285",0.225226633855509,-0.0092683520376462,3.02709225190564e-05,0.152041231606031,0.144041620583447,-348.972794329495
"1.286",0.21969110240799,-0.00589293248933158,0.00307000041988399,0.0797230560393939,0.0710411980775014,-365.179751452657
"1.287",0.21881567366728,-0.00596758210842048,0.00129835620713834,0.0933970260025869,0.0848441677573282,-372.819889194518
"1.288",0.227518185589207,-0.00725787556923765,0.000122637141935873,0.130482846020458,0.122279854001783,-368.274552224771
"1.289",0.218603574319486,-0.00446635050452294,0.0245654745780869,0.0467768338462435,0.0377841624674344,-375.726590826082
