"","chi","df","p_value"
"Kruskal-Wallis chi-squared.184",54.5853747518643,5,1.58859327810832e-10
"Kruskal-Wallis chi-squared.185",45.7945640544968,5,1.00001081098183e-08
"Kruskal-Wallis chi-squared.186",55.6882028405546,5,9.4211363156008e-11
"Kruskal-Wallis chi-squared.187",50.1593547263855,5,1.28554753437693e-09
"Kruskal-Wallis chi-squared.188",47.0059390546282,5,5.66564841420553e-09
"Kruskal-Wallis chi-squared.189",50.4304387595481,5,1.13135132078359e-09
"Kruskal-Wallis chi-squared.190",51.7234945386492,5,6.14715364930944e-10
"Kruskal-Wallis chi-squared.191",56.2281705342687,5,7.2931717683639e-11
"Kruskal-Wallis chi-squared.192",51.1392673384607,5,8.09877356063076e-10
"Kruskal-Wallis chi-squared.193",46.7267758200442,5,6.45878225616292e-09
"Kruskal-Wallis chi-squared.194",46.1998177971763,5,8.26990688666867e-09
"Kruskal-Wallis chi-squared.195",47.4171115487345,5,4.67092830893605e-09
"Kruskal-Wallis chi-squared.196",56.1386275772179,5,7.60954126183643e-11
"Kruskal-Wallis chi-squared.197",45.0136122446189,5,1.44166137472857e-08
"Kruskal-Wallis chi-squared.198",52.9450086209708,5,3.45192930474305e-10
"Kruskal-Wallis chi-squared.199",50.2603025597813,5,1.22581873162979e-09
"Kruskal-Wallis chi-squared.200",51.2711554099616,5,7.61016085088906e-10
"Kruskal-Wallis chi-squared.201",59.5595949984694,5,1.49875558544857e-11
"Kruskal-Wallis chi-squared.202",37.6266216524702,5,4.48425727546284e-07
"Kruskal-Wallis chi-squared.203",51.4937358311531,5,6.85133902061419e-10
"Kruskal-Wallis chi-squared.204",43.7317005035825,5,2.62563207061683e-08
"Kruskal-Wallis chi-squared.205",50.6548016545531,5,1.0177883124157e-09
"Kruskal-Wallis chi-squared.206",44.9660120199161,5,1.47414499360153e-08
"Kruskal-Wallis chi-squared.207",47.3755789305368,5,4.7629344102679e-09
"Kruskal-Wallis chi-squared.208",51.4575144989054,5,6.96947194227105e-10
"Kruskal-Wallis chi-squared.209",46.837567708021,5,6.13155738762841e-09
"Kruskal-Wallis chi-squared.210",48.4855169794727,5,2.82699556518769e-09
"Kruskal-Wallis chi-squared.211",37.5903406203943,5,4.56008433894913e-07
"Kruskal-Wallis chi-squared.212",43.5046147704213,5,2.91947726866514e-08
"Kruskal-Wallis chi-squared.213",49.8922195081155,5,1.45798580805181e-09
"Kruskal-Wallis chi-squared.214",47.2203345504734,5,5.12313365671284e-09
"Kruskal-Wallis chi-squared.215",37.9236708503886,5,3.90882501735518e-07
"Kruskal-Wallis chi-squared.216",50.6147737876201,5,1.03718049524203e-09
"Kruskal-Wallis chi-squared.217",50.9711500448669,5,8.76723530358196e-10
"Kruskal-Wallis chi-squared.218",49.3504756524639,5,1.88174102568824e-09
"Kruskal-Wallis chi-squared.219",39.8035714698992,5,1.63595092267247e-07
"Kruskal-Wallis chi-squared.220",55.5607347654981,5,1.00078885726787e-10
"Kruskal-Wallis chi-squared.221",47.0473760479029,5,5.55650662657737e-09
"Kruskal-Wallis chi-squared.222",48.0164945102458,5,3.52449136506633e-09
