"","a","b","sigma","WAIC"
"Number.944",0.217519747250392,-0.00609613487710913,0.0426739040651175,-368.471741160789
"Number.945",0.223729737748328,-0.00712558421005383,0.0428907854163909,-367.838754337658
"Number.946",0.219882269113946,-0.00470881036108958,0.0449680059006673,-357.219824050857
"Number.947",0.220620548434594,-0.00747581649617195,0.0405428652123958,-378.527686433236
"Number.948",0.221275160961151,-0.00851288477539612,0.0394247177583146,-385.35291500597
"Number.949",0.220042949538994,-0.00684596049054822,0.0387637519988365,-388.884859990293
"Number.950",0.220967092541696,-0.00795877692431188,0.0415806430335449,-374.266268849068
"Number.951",0.216097503406794,-0.00714824839517595,0.0391358409527363,-387.982403866636
"Number.952",0.223393801071213,-0.00648064532337817,0.0425497368283016,-370.181844936354
"Number.953",0.219779772404869,-0.0086293652069178,0.0432906687612147,-366.104785274324
"Number.954",0.223281760911035,-0.00757445093844852,0.0439730114099347,-362.066337133232
"Number.955",0.218683054940295,-0.00630900700205822,0.0403987463002972,-380.392951882752
"Number.956",0.214959848207724,-0.00521195289799195,0.0429047976041975,-367.755962868241
"Number.957",0.223073483754592,-0.00613455483778583,0.0458701239900861,-352.810264102322
"Number.958",0.222420172764498,-0.00855374839888668,0.0436728972298783,-363.868890848657
"Number.959",0.217706466210707,-0.00677011582614473,0.0433134958821839,-364.965022860418
"Number.960",0.219169001606993,-0.00684097065199332,0.0419143197101242,-372.70576401639
"Number.961",0.219125899325571,-0.00614067559912454,0.0381260897703775,-392.517125116512
"Number.962",0.222981394018048,-0.00711568811375787,0.0463080841987387,-350.9442803391
"Number.963",0.219730441694299,-0.0066555883119331,0.043801133115947,-363.065041449154
"Number.964",0.221714657356259,-0.00743351380397078,0.0470587577417137,-347.433791650543
"Number.965",0.222443659729437,-0.00740439503350348,0.0464348800056852,-350.6897116259
"Number.966",0.220407943813427,-0.00453445060418613,0.0442329305734182,-360.997620629565
"Number.967",0.221936425866308,-0.00677840642227367,0.042796249253543,-368.523491790392
"Number.968",0.21918150736651,-0.00754043182105625,0.0415559524749923,-374.514051719682
"Number.969",0.226040194625951,-0.00575838682878641,0.0470070947472163,-347.569718173519
"Number.970",0.224752202899437,-0.00795097883270233,0.0413210625778572,-375.605945257449
"Number.971",0.222875985972764,-0.00845029918947004,0.0400818776835883,-382.316268730912
"Number.972",0.221496319982183,-0.00538996665202904,0.0450572046002833,-357.349168291987
"Number.973",0.219631810611632,-0.00601560360169975,0.0455520805532623,-354.689397006804
"Number.974",0.221876775782735,-0.00989232180942719,0.042561941937885,-369.638552285536
"Number.975",0.218568064789596,-0.00512045187085016,0.0429118937781271,-367.617803683239
"Number.976",0.22290334157639,-0.00410692701275217,0.0432986194876586,-364.842044607465
"Number.977",0.218446211756748,-0.00484934553032151,0.0438787292733971,-363.010091867979
"Number.978",0.22102575049819,-0.00732063626480145,0.0440638853047017,-361.319205706075
"Number.979",0.219416342740142,-0.00731358617486151,0.0415882150065453,-374.285969714438
"Number.980",0.220105966427006,-0.0074072306874978,0.0422877237768173,-370.55256780517
"Number.981",0.217426463657062,-0.00643161527008896,0.0427869160228341,-367.332355291064
"Number.982",0.220313894711254,-0.00485205420960852,0.0427570551359247,-368.458393682654
"Number.983",0.215270914277341,-0.00606230915635426,0.0456374876954649,-354.163817051509
"Number.984",0.221737980415842,-0.0066179412261912,0.0483832279941074,-341.767535989742
"Number.985",0.219415580703725,-0.00580593784854057,0.0375561653621268,-396.125773304563
"Number.986",0.219007928592572,-0.0087794137871765,0.0377288281423439,-395.335157381906
"Number.987",0.221859650588369,-0.00748120466046987,0.0429959621235962,-366.898645194578
"Number.988",0.217471634188716,-0.00723928690071264,0.0438696229778625,-362.819034416046
"Number.989",0.222671700299394,-0.00734520296853486,0.0442955191912675,-359.949240765346
"Number.990",0.219449724191621,-0.0057118155717423,0.0437438626682931,-363.221236681637
"Number.991",0.217005089687864,-0.00643217530644053,0.0459694520634467,-352.964490580496
"Number.992",0.218147957053364,-0.00800906920513671,0.0402500403064265,-381.548134453033
"Number.993",0.217634383674679,-0.00590173528668227,0.0413963116191443,-375.574708628398
"Number.994",0.217343296132498,-0.0058072799161232,0.0412700056750151,-375.181869019444
"Number.995",0.221159588016732,-0.00769192181898081,0.0440508116055736,-361.682258034642
"Number.996",0.222715823631385,-0.00529939170247265,0.0472879381199015,-346.557992924167
"Number.997",0.222536765173755,-0.00708212457310569,0.0455340114801814,-354.281072753671
"Number.998",0.224549538483579,-0.0103846868986115,0.0429102705590377,-367.675420635328
"Number.999",0.223819189118556,-0.00681005259198489,0.046542469354343,-349.722364845729
