"MyNumber","ID","sciname","Label","SL","Stage","Sex","Station","Muscle","Otolith","Lat_dec.x.x","Long_dec.x","Year.x","Weight.x","Min_Depth","Max_Depth","DIC","Suess","Depth_Mid","d13C","d18O","d13C_musc","d13C_musc_SD","d18O_SW","sd_d18O_SW","mean_M","sd_M","se_M","mean_Temp","sd_Temp","se_Temp"
"BAS_94","114","Gymnoscopelus braueri","GYR",125,"2","M","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,16.3,200,400,1.8,-0.08,300,-4.72,4.32,-27.43,0,-0.288763367,0.671030923,0.208548701787937,0.011187295966021,0.000204251145269208,-0.295741841155096,2.28352760054781,0.0294802145584221
"BAS_95","#111","Gymnoscopelus braueri","GYR",116,"3","F","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,14,200,400,1.8,-0.08,300,-4.21,4.19,-28.22,0,-0.288763367,0.671030923,0.186416316715693,0.0103090065914941,0.000188215848521026,-0.025288415876112,2.31228193217162,0.0298514313834567
"BAS_96","22","Gymnoscopelus braueri","GYR",95,"2","F","JR177/305/2",2,"Y",-52.86,-40.1,2008,6.4,15.5,206,1.9,-0.1,110.75,-4.27,4.13,-25.4,2.07,-0.271953128,0.671714202,0.215568491878908,0.0200936938644532,0.00036685897977214,0.124594937226,2.33486721242933,0.0301430060978151
"BAS_97","24","Gymnoscopelus braueri","GYR",77,"J","J","JR177/305/2",1,"Y",-52.86,-40.1,2008,3.5,15.5,206,1.9,-0.1,110.75,-4.53,3.6,-25.41,0,-0.271953128,0.671714202,0.222565369506794,0.0113860600087695,0.000207880063597017,1.22141642236465,2.32693194146867,0.0300405621902208
"BAS_98","#108","Gymnoscopelus braueri","GYR",109,"2","F","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,8.4,200,400,1.8,-0.08,300,-4.14,3.91,-26.47,0,-0.288763367,0.671030923,0.195328236162016,0.0109332305911149,0.000199612567371973,0.571151732335218,2.27158356697097,0.0293260177479901
"BAS_99","25","Gymnoscopelus braueri","GYR",89,"J","J","JR177/305/2",1,"Y",-52.86,-40.1,2008,5,15.5,206,1.9,-0.1,110.75,-4.87,3.94,-26.36,0,-0.271953128,0.671714202,0.226864778494302,0.0108826122774896,0.000198688407632125,0.488697630429487,2.28948155763651,0.0295570798139173
"BAS_100","27","Gymnoscopelus braueri","GYR",89,"J","J","JR177/305/2",1,"Y",-52.86,-40.1,2008,5.9,15.5,206,1.9,-0.1,110.75,-4.34,3.83,-26.22,0,-0.271953128,0.671714202,0.209377498731596,0.0107494010343218,0.000196256314205581,0.770907279430962,2.2883151991581,0.0295420221907087
"BAS_101","28","Gymnoscopelus braueri","GYR",102,"J","J","JR177/305/2",1,"Y",-52.86,-40.1,2008,9.4,15.5,206,1.9,-0.1,110.75,-3.81,3.9,-25.53,0,-0.271953128,0.671714202,0.195815763740393,0.0107332341481059,0.000195961148596746,0.627088679851614,2.28535741637201,0.0295038373791346
"BAS_102","20","Gymnoscopelus braueri","GYR",115,"3","F","JR177/305/2",1,"Y",-52.86,-40.1,2008,14.6,15.5,206,1.9,-0.1,110.75,-4.52,4.25,-27.98,0,-0.271953128,0.671714202,0.203427443825134,0.00961901931554538,0.000175618462006737,-0.0916617776357582,2.28722162385764,0.0295279041942871
"BAS_103","#109","Gymnoscopelus braueri","GYR",98,NA,"J","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,6.2,200,400,1.8,-0.08,300,-5.01,3.79,-26.95,0,-0.288763367,0.671030923,0.221722872876739,0.0116642476613849,0.00021295905201558,0.857340240912094,2.28319392155131,0.0294759067811008
"BAS_104","#110","Gymnoscopelus braueri","GYR",116,"3","F","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,14.1,200,400,1.8,-0.08,300,-4.19,3.98,-27.79,0,-0.288763367,0.671030923,0.18856357122848,0.0103800754989913,0.000189513383313475,0.378217003679761,2.29245206480494,0.0295954288965612
"BAS_105","116","Gymnoscopelus braueri","GYR",114,"2","M","JR15004/60/1",1,"Y",-59.9641,-47.1774,2016,11.3,700,1000,1.8,-0.08,850,-4.25,4.09,-27.47,0,-0.123062443,0.677797416,0.191895391282025,0.0108028498134683,0.000197232150939235,0.52083414729647,2.34067048167622,0.0302179259816377
"BAS_106","107","Gymnoscopelus braueri","GYR",121,"2","F","JR15004/66/1",1,"Y",-60.0328,-46.6157,2016,13.9,200,400,1.8,-0.08,300,-4.19,3.98,-26.38,0,-0.132668294,0.677403268,0.197026683912671,0.0110907597275481,0.000202488642754932,0.740775055555807,2.33117236492379,0.0300953058216293
"BAS_107","21","Gymnoscopelus braueri","GYR",78,"J","F","JR177/305/2",1,"Y",-52.86,-40.1,2008,6.4,15.5,206,1.9,-0.1,110.75,-4.08,3.9,-24.75,0,-0.271953128,0.671714202,0.211154061326036,0.0112898601146357,0.000206123701862127,0.64614134905328,2.29889473106451,0.0296786033603228
"BAS_110","102","Gymnoscopelus braueri","GYR",117,"2","M","JR15004/73/1",1,"Y",-60.1027,-46.0406,2016,13.9,200,400,1.8,-0.08,300,-4.91,4.08,-28.74,0,-0.132668294,0.677403268,0.205907824893346,0.0104848186267965,0.000191425722441559,0.517209962701049,2.33387279273889,0.0301301681948144
"BAS_111","101","Gymnoscopelus braueri","GYR",124,"3","F","JR15004/73/1",1,"Y",-60.1027,-46.0406,2016,16.1,200,400,1.8,-0.08,300,-5.19,4.36,-28.47,0,-0.132668294,0.677403268,0.216436926658467,0.0107158174190498,0.000195643164084012,-0.109788614217635,2.29202749132045,0.0295899476764456
"BAS_112","#112","Gymnoscopelus braueri","GYR",106,NA,"J","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,10.4,200,400,1.8,-0.08,300,-4.1,3.87,-26.61,0,-0.288763367,0.671030923,0.193347681938762,0.0109030595601452,0.000199061722230463,0.651021181626337,2.27274823194723,0.0293410535081799
"BAS_120","119","Gymnoscopelus nicholsi","GYN",148,"2","M","JR15004/96/2",1,"Y",-60.3073,-46.7017,2016,30.1,0,200,1.8,-0.08,100,-2.59,3.18,-24.25,0,-0.288763367,0.671030923,0.15287401085099,0.0114407559976493,0.000208878671160834,2.05744849761974,2.31893460235577,0.0299373169862268
